date,timestamp,timestamp_ms,respiration_rate
2026-03-02,2026-03-02 04:06:00,1772424360000,13.0
2026-03-02,2026-03-02 04:08:00,1772424480000,13.0
2026-03-02,2026-03-02 04:10:00,1772424600000,11.0
2026-03-02,2026-03-02 04:12:00,1772424720000,11.0
2026-03-02,2026-03-02 04:14:00,1772424840000,11.0
2026-03-02,2026-03-02 04:16:00,1772424960000,12.0
2026-03-02,2026-03-02 04:18:00,1772425080000,13.0
2026-03-02,2026-03-02 04:20:00,1772425200000,11.0
2026-03-02,2026-03-02 04:22:00,1772425320000,12.0
2026-03-02,2026-03-02 04:24:00,1772425440000,12.0
2026-03-02,2026-03-02 04:26:00,1772425560000,12.0
2026-03-02,2026-03-02 04:28:00,1772425680000,10.0
2026-03-02,2026-03-02 04:30:00,1772425800000,12.0
2026-03-02,2026-03-02 04:32:00,1772425920000,13.0
2026-03-02,2026-03-02 04:34:00,1772426040000,12.0
2026-03-02,2026-03-02 04:36:00,1772426160000,17.0
2026-03-02,2026-03-02 04:38:00,1772426280000,15.0
2026-03-02,2026-03-02 04:40:00,1772426400000,14.0
2026-03-02,2026-03-02 04:42:00,1772426520000,13.0
2026-03-02,2026-03-02 04:44:00,1772426640000,12.0
2026-03-02,2026-03-02 04:46:00,1772426760000,11.0
2026-03-02,2026-03-02 04:48:00,1772426880000,11.0
2026-03-02,2026-03-02 04:50:00,1772427000000,11.0
2026-03-02,2026-03-02 04:52:00,1772427120000,11.0
2026-03-02,2026-03-02 04:54:00,1772427240000,10.0
2026-03-02,2026-03-02 04:56:00,1772427360000,11.0
2026-03-02,2026-03-02 04:58:00,1772427480000,11.0
2026-03-02,2026-03-02 05:00:00,1772427600000,14.0
2026-03-02,2026-03-02 05:02:00,1772427720000,13.0
2026-03-02,2026-03-02 05:04:00,1772427840000,13.0
2026-03-02,2026-03-02 05:06:00,1772427960000,12.0
2026-03-02,2026-03-02 05:08:00,1772428080000,14.0
2026-03-02,2026-03-02 05:10:00,1772428200000,15.0
2026-03-02,2026-03-02 05:12:00,1772428320000,12.0
2026-03-02,2026-03-02 05:14:00,1772428440000,12.0
2026-03-02,2026-03-02 05:16:00,1772428560000,10.0
2026-03-02,2026-03-02 05:18:00,1772428680000,11.0
2026-03-02,2026-03-02 05:20:00,1772428800000,12.0
2026-03-02,2026-03-02 05:22:00,1772428920000,12.0
2026-03-02,2026-03-02 05:24:00,1772429040000,11.0
2026-03-02,2026-03-02 05:26:00,1772429160000,10.0
2026-03-02,2026-03-02 05:28:00,1772429280000,14.0
2026-03-02,2026-03-02 05:30:00,1772429400000,14.0
2026-03-02,2026-03-02 05:32:00,1772429520000,13.0
2026-03-02,2026-03-02 05:34:00,1772429640000,9.0
2026-03-02,2026-03-02 05:36:00,1772429760000,10.0
2026-03-02,2026-03-02 05:38:00,1772429880000,11.0
2026-03-02,2026-03-02 05:40:00,1772430000000,12.0
